"","-1","0","1"
"1",0.798,0.033,0.169
"2",0.416,0.043,0.542
"3",0.153,0.224,0.622
"4",0.069,0.714,0.217
"5",0.082,0.713,0.205
"6",0.091,0.714,0.195
"7",0.715,0.285,0.715
"8",0.131,0.566,0.303
"9",0.347,0.558,0.095
"10",0.12,0.562,0.318
"11",0.364,0.565,0.071
"12",0.086,0.567,0.348
"13",0.27,0.716,0.014
"14",0.155,0.714,0.131
"15",0.476,0.041,0.483
"16",0.418,0.033,0.548
"17",0.249,0.751,0.249
"18",0.244,0.712,0.044
"19",0.119,0.712,0.169
"20",0.099,0.713,0.188
"21",0.057,0.717,0.226
"22",0.095,0.714,0.191
"23",0.099,0.714,0.187
"24",0.15,0.714,0.135
